Loan Default Rate by Credit Score (500–900),,,,,,,   ,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
credit_score_band,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Loan Risk Structures (neg_ammortization + interest_only),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
AVERAGE of defaulted,interest_only,,,,,,,,,,,,,,,,,,,
neg_ammortization,INT_ONLY,NOT_INT,,,,,,,,,,,,,,,,,,
NEG_AMM,27.34%,24.43%,,,,,,,,,,,,,,,,,,
NOT_NEG,27.43%,24.23%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Income,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Grouped income,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
< 2000,1183,43.79%,,,,,,,,,,,,,,,,,,
2000 - 3999,5321,29.90%,,,,,,,,,,,,,,,,,,
4000 - 5999,8532,22.97%,,,,,,,,,,,,,,,,,,
6000 - 7999,4455,21.93%,,,,,,,,,,,,,,,,,,
8000 - 9999,2741,20.39%,,,,,,,,,,,,,,,,,,
10000 - 11999,1437,17.75%,,,,,,,,,,,,,,,,,,
12000 - 13999,887,18.60%,,,,,,,,,,,,,,,,,,
14000 - 15000,317,17.03%,,,,,,,,,,,,,,,,,,
> 15000,126,17.46%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Age,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
age,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
<25,234,29.06%,,,,,,,,,,,,,,,,,,
>74,1232,29.22%,,,,,,,,,,,,,,,,,,
25-34,3192,22.37%,,,,,,,,,,,,,,,,,,
35-44,5631,21.47%,,,,,,,,,,,,,,,,,,
45-54,5882,24.31%,,,,,,,,,,,,,,,,,,
55-64,5363,26.25%,,,,,,,,,,,,,,,,,,
65-74,3465,26.32%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Loan Default Rate by Region,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
region,COUNT of id,Default Rate,,,,,,,,,,,,,,,,,,
CENTRAL,1437,27.14%,,,,,,,,,,,,,,,,,,
NORTH,12586,22.24%,,,,,,,,,,,,,,,,,,
NORTH-EAST,205,33.17%,,,,,,,,,,,,,,,,,,
SOUTH,10771,26.40%,,,,,,,,,,,,,,,,,,
Grand Total,24999,24.40%,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
KPIs,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Key,Value,,,,,,,,,,,,,,,,,,,
Total Loans,24999,,,,,,,,,,,,,,,,,,,
Overall Default Rate,24.40%,,,,,,,,,,,,,,,,,,,
Highest Risk Region,NORTH-EAST,,,,,,,,,,,,,,,,,,,
Highest Risk LTV,> 120.00,,,,,,,,,,,,,,,,,,,
Highest Risk Income,< 2000,,,,,,,,,,,,,,,,,,,
Highest Risk DTI,50 - 59,,,,,,,,,,,,,,,,,,,
